COMID,p_local,p_upstream_total
23016205,138.2655460458579,9477.48772526495
23016206,151.00344624365275,9008.186887958169
23016207,49.7202501888212,8774.377984881115
23016208,16.573416729607068,8525.530458466223
23016209,156.17776446274684,8390.765718972618
23016210,265.67764224052536,5759.971058838463
23016269,0.0,2474.6168956714087
23016272,52.794378965364615,2421.8333905939558
23016276,52.81612674118743,2316.2011475859867
23016282,313.1106886973845,1934.876774892965
23016451,17.61624423110412,328.5082459518344
23016646,16.559277461275325,331.03529126092394
23016732,0.0,199.1272762260729
23016773,16.583682113959455,132.79255270351445
23016830,52.837864042604046,52.837864042604046
23016862,118.19132276399746,118.19132276399746
23016877,33.19814064480555,33.19814064480555
23016879,52.78350507745321,52.78350507745321
23016888,83.01072994474943,83.01072994474943
23016937,66.33472352255846,66.33472352255846
23017006,82.80545683340044,82.80545683340044
23017062,99.276106376233,99.276106376233
23017110,215.1999074234156,215.1999074234156
23017420,302.293506311032,5134.7160232931465
23017422,75.85901813750101,4794.522060092515
23017423,0.0,4422.445222221825
23017425,119.39691621551664,4065.267989835136
23017428,241.0901790713743,3789.467518095888
23017429,67.81382964788948,3460.366430950468
23017432,22.62295856660797,3257.500427552813
23017436,271.7092314429921,2132.596157834113
23017437,700.4156211285172,700.4156211285172
23017479,71.25375674596606,1160.4713052626037
23017481,22.664197665888835,847.601231733431
23017483,188.7416503400456,648.1010709879697
23017665,18.611377791077587,1565.9319528223475
23017686,22.60919873505654,1102.2813111520925
23017708,130.41673209830938,1396.6198773220715
23017711,0.0,1135.7978287759236
23017745,180.72213758545396,895.6852050142013
23017746,37.2912827378205,1042.5468017237483
23017757,18.64564136891025,886.8405943318746
23017790,37.94693360735673,357.17723238668907
23017797,37.8190127429993,359.57739330479103
23017822,62.44377023588653,562.6672594723866
23017825,0.0,354.39428292842337
23017839,18.657051472722205,305.52769349057786
23017935,176.8359630795723,176.8359630795723
23017962,135.05217374976502,135.05217374976502
23017990,433.115498074934,433.115498074934
23017994,241.61631678320663,241.61631678320663
23018018,88.01090807404522,88.01090807404522
23018055,183.98690740283445,183.98690740283445
23018056,250.20697860719145,250.20697860719145
23018091,281.8475693538133,281.8475693538133
23018105,296.21781973318895,296.21781973318895
23018106,104.18730432123192,104.18730432123192
23018119,145.8292063080767,145.8292063080767
23018125,156.40355552373154,156.40355552373154
23018133,192.94074266636136,192.94074266636136
23018172,118.41492465405314,118.41492465405314
23018176,187.78609450675276,187.78609450675276
23018213,93.9298993514943,93.9298993514943
23018246,131.4442042725796,131.4442042725796
23018254,93.25102705217516,93.25102705217516
23018303,150.70069770919827,150.70069770919827
23018310,37.90045688959992,37.90045688959992
23018315,130.40531644783874,130.40531644783874
23018370,55.83413337323276,55.83413337323276
23018373,227.11191523711108,227.11191523711108
23018421,203.65721798086304,203.65721798086304
23018425,94.64646532468068,94.64646532468068
23018484,107.23478373986724,107.23478373986724
23018843,292.8339332862598,292.8339332862598
23019493,166.5254873616643,166.5254873616643
