COMID,p_local,p_upstream_total
43031630,74.69969420275183,392.8644976656736
43031833,262.0932924071478,262.0932924071478
43031945,0.0,1570.1954700835297
43031979,279.51673455464135,1176.9992364861248
43032082,57.56218588186941,648.0029656932089
43032087,316.85715438773786,822.848976715277
43032094,0.0,456.2353177205365
43032147,19.17322472039657,322.45549823938103
43032171,55.97702784568638,447.7154471935391
43032234,130.6639610104335,412.2180388753145
43032260,0.0,225.2600999388355
43032532,37.53867596757683,168.9310486998496
43032577,18.652121885344503,130.52348443339716
43032740,74.67731709768265,74.67731709768265
43032803,149.3339942103149,149.3339942103149
43033002,93.79566560358413,93.79566560358413
43033044,93.23303209956106,93.23303209956106
43033100,134.20546209080302,134.20546209080302
43033108,18.6383304484916,18.6383304484916
43033135,56.07151105577394,56.07151105577394
43033298,38.31095742063103,38.31095742063103
43033385,261.2149349144556,261.2149349144556
43033407,133.77981948115544,133.77981948115544
43033421,112.15499250393022,112.15499250393022
43033582,74.63352521620632,74.63352521620632
43033736,264.97131609835344,264.97131609835344
43033780,93.77378345222466,93.77378345222466
43033995,56.3290512389859,56.3290512389859
43034045,37.53165795491694,37.53165795491694
43034072,93.86071477735584,93.86071477735584
43034125,393.1962335974047,393.1962335974047
43034134,56.29397792604546,56.29397792604546
43034714,38.34382554460011,4891.41704225352
43034716,0.0,4796.147988474235
43034718,19.354794670084065,4585.997360667178
43034723,0.0,4359.491133575072
43034730,56.87200176971544,4302.605293847194
43034737,0.0,4056.372561483665
43034754,37.88463861343374,1405.2891468446514
43034767,18.93190983312984,1291.6768745305308
43034784,56.795723867557165,1197.0659723660842
43034810,37.842972559956415,505.3847873233127
43035156,113.8678704467272,2651.0834146390134
43035240,55.99766783073679,1738.348130418197
43035248,57.068782477296736,798.8674137740898
43035252,37.83601977136035,634.8854611752143
43035870,38.71663586058514,210.1506278070567
43035995,75.40251875948886,207.1514324220227
43036845,56.925228234685335,56.925228234685335
43036857,57.67615044887816,57.67615044887816
43036935,56.88583972787797,56.88583972787797
43037062,113.7578414975934,113.7578414975934
43037107,75.79700952748112,75.79700952748112
43037230,55.95190413505274,55.95190413505274
43037449,75.727633700687,75.727633700687
43037483,189.3607305938141,189.3607305938141
43037637,75.67899233131676,75.67899233131676
